"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48","POST /buildQueue — поставить сборку в очередь, state=queued","tests.api.builds","2026-06-05","passed","2026-06-05","TestBuildsSmoke","test_builds_smoke","",""
"","28","DELETE /buildTypes/{locator} — удалить build type, повторный GET возвращает 404","tests.api.builds","2026-06-05","passed","2026-06-05","TestBuildIntegration","test_builds_integration","",""
"","1120","UI — админ жмёт кнопку создать проект через main button","tests.ui.ui_base","2026-06-05","passed","2026-06-05","TestLoginAdmin","test_ui_admin_base_steps","",""
"","1636","UI — создать проект через welcome button","tests.ui.ui_base","2026-06-05","passed","2026-06-05","TestUICreateProject","test_ui_admin_create_project","",""
"","189","POST /users — создание пользователя","tests.api.users","2026-06-05","passed","2026-06-05","TestUsersIntegration","test_users_integration","",""
"","5","GET /users/current — HTTP 401, отсутсвтует или не верный токен","tests.api.server","2026-06-05","passed","2026-06-05","TestServerSmoke","test_server_smoke","",""
"","40","UI — пользователь созданный через API отображается в списке","tests.ui.ui_base","2026-06-05","passed","2026-06-05","TestUiAdminCreateUser","test_ui_admin_create_user","",""
"","1501","UI — создать проект через main button","tests.ui.ui_base","2026-06-05","passed","2026-06-05","TestUICreateProject","test_ui_admin_create_project","",""
"","2280","UI — админ жмёт кнопку создать проект через dropdown button","tests.ui.ui_base","2026-06-05","passed","2026-06-05","TestLoginAdmin","test_ui_admin_base_steps","",""
"","41","Запуск custom build (параметры, ветка, агент)","tests.api.builds","2026-06-05","passed","2026-06-05","TestBuildIntegration","test_builds_integration","",""
"","31","POST /buildTypes/{locator}/move — перемещение build configuration в другой проект","tests.api.builds","2026-06-05","passed","2026-06-05","TestBuildIntegration","test_builds_integration","",""
"","29","DELETE /users/{locator} — удалить пользователя, повторный GET возвращает 404","tests.api.users","2026-06-05","passed","2026-06-05","TestUsersIntegration","test_users_integration","",""
"","1471","UI — админ жмёт кнопку Queue","tests.ui.ui_base","2026-06-05","passed","2026-06-05","TestLoginAdmin","test_ui_admin_base_steps","",""
"","1262","Отмена запущенного билда (running)","tests.api.builds","2026-06-05","passed","2026-06-05","TestBuildIntegration","test_builds_integration","",""
"","55","GET /projects — HTTP 200, count >= 1","tests.api.projects","2026-06-05","passed","2026-06-05","TestProjectsSmoke","test_projects_smoke","",""
"","44","GET /agents/id:{id} — получить агента по id","tests.api.agents","2026-06-05","passed","2026-06-05","TestAgentsSmoke","test_agents_smoke","",""
"","1794","UI — создать проект через welcome button","tests.ui.ui_base","2026-06-05","passed","2026-06-05","TestUICreateProject","test_ui_admin_create_project","",""
"","1781","UI — логин с неверным паролем","tests.ui.ui_base","2026-06-05","passed","2026-06-05","TestLoginAdmin","test_ui_admin_login","",""
